,er,AV,Accuracy
0,IBk,ALYac,0.8999250374812591
1,IBk,AVG,0.883058470764618
2,IBk,AVware,0.8849325337331335
3,IBk,Ad-Aware,0.9029235382308844
4,IBk,AhnLab-V3,0.889055472263868
5,IBk,Arcabit,0.894302848575712
6,IBk,Avast,0.8733133433283355
7,IBk,Avira,0.8883058470764615
8,IBk,Baidu,0.8901799100449774
9,IBk,BitDefender,0.890554722638681
10,IBk,Bkav,0.8879310344827585
11,IBk,CATQHeal,0.8871814092953525
12,IBk,CMC,0.8939280359820085
13,IBk,ClamAV,0.901799100449775
14,IBk,Comodo,0.881934032983508
15,IBk,CrowdStrike,0.8755622188905545
16,IBk,Cyren,0.8890554722638679
17,IBk,DrWeb,0.891304347826087
18,IBk,ENOD32,0.8849325337331335
19,IBk,Emsisoft,0.8898050974512746
20,IBk,Endgame,0.881184407796102
21,IBk,F-Prot,0.8928035982008995
22,IBk,F-Secure,0.8879310344827585
23,IBk,Fortinet,0.87856071964018
24,IBk,GData,0.880059970014992
25,IBk,Invincea,0.8875562218890555
26,IBk,Jiangmin,0.8980509745127435
27,IBk,K7AntiVirus,0.882308845577211
28,IBk,K7GW,0.888305847076462
29,IBk,Kaspersky,0.873313343328336
30,IBk,Kingsoft,0.8877369668246444
31,IBk,MAX,0.887181409295352
32,IBk,McAfee,0.8868065967016495
33,IBk,McAfee-GW,0.8879310344827585
34,IBk,MicroWorld,0.8928035982008995
35,IBk,Microsoft,0.877811094452774
36,IBk,NANO,0.874437781109445
37,IBk,Paloalto,0.8830584707646175
38,IBk,Panda,0.8928035982008995
39,IBk,Qihoo-360,0.8830584707646175
40,IBk,Rising,0.8961769115442275
41,IBk,SASpyware,0.90592203898051
42,IBk,SentinelOne,0.8796851574212889
43,IBk,Sophos,0.8849325337331335
44,IBk,Symantec,0.8744377811094455
45,IBk,Tencent,0.883433283358321
46,IBk,TheHacker,0.9111505997334519
47,IBk,TotalDefense,0.8976761619190405
48,IBk,TrendMicro,0.8744377811094455
49,IBk,TMHouseC,0.8658170914542724
50,IBk,VBA32,0.8875562218890556
51,IBk,VIPRE,0.8714392803598205
52,IBk,ViRobot,0.8871814092953525
53,IBk,Webroot,0.89880059970015
54,IBk,Yandex,0.878935532233883
55,IBk,ZoneAlarm,0.881559220389805
56,IBk,eGambit,0.9209145427286355
57,J48,ALYac,0.8961769115442275
58,J48,AVG,0.883808095952024
59,J48,AVware,0.878935532233883
60,J48,Ad-Aware,0.9025487256371816
61,J48,AhnLab-V3,0.8909295352323835
62,J48,Arcabit,0.8849325337331335
63,J48,Avast,0.8770614692653675
64,J48,Avira,0.886056971514243
65,J48,Baidu,0.8928035982008995
66,J48,BitDefender,0.8864317841079461
67,J48,Bkav,0.8849325337331335
68,J48,CATQHeal,0.8823088455772115
69,J48,CMC,0.9047976011994006
70,J48,ClamAV,0.901049475262369
71,J48,Comodo,0.884182908545727
72,J48,CrowdStrike,0.8826836581709145
73,J48,Cyren,0.8849325337331335
74,J48,DrWeb,0.886056971514243
75,J48,ENOD32,0.875562218890555
76,J48,Emsisoft,0.887556221889055
77,J48,Endgame,0.8729385307346325
78,J48,F-Prot,0.8958020989505245
79,J48,F-Secure,0.8849325337331335
80,J48,Fortinet,0.878935532233883
81,J48,GData,0.881934032983508
82,J48,Invincea,0.883058470764618
83,J48,Jiangmin,0.8950524737631185
84,J48,K7AntiVirus,0.8841829085457276
85,J48,K7GW,0.87856071964018
86,J48,Kaspersky,0.8800599700149925
87,J48,Kingsoft,0.9004739336492891
88,J48,MAX,0.8774362818590705
89,J48,McAfee,0.876311844077961
90,J48,McAfee-GW,0.8819340329835079
91,J48,MicroWorld,0.886806596701649
92,J48,Microsoft,0.8755622188905545
93,J48,NANO,0.875562218890555
94,J48,Paloalto,0.8778110944527735
95,J48,Panda,0.8860569715142426
96,J48,Qihoo-360,0.8841829085457276
97,J48,Rising,0.896176911544228
98,J48,SASpyware,0.8954272863568216
99,J48,SentinelOne,0.8793103448275865
100,J48,Sophos,0.8909295352323835
101,J48,Symantec,0.87856071964018
102,J48,Tencent,0.8875562218890556
103,J48,TheHacker,0.9162594402487785
104,J48,TotalDefense,0.904422788605697
105,J48,TrendMicro,0.8875562218890555
106,J48,TMHouseC,0.8759370314842575
107,J48,VBA32,0.8819340329835085
108,J48,VIPRE,0.8793103448275861
109,J48,ViRobot,0.8999250374812595
110,J48,Webroot,0.895052473763118
111,J48,Yandex,0.877061469265367
112,J48,ZoneAlarm,0.884182908545727
113,J48,eGambit,0.91191904047976
114,JRip,ALYac,0.911169415292354
115,JRip,AVG,0.9006746626686655
116,JRip,AVware,0.899175412293853
117,JRip,Ad-Aware,0.9186656671664171
118,JRip,AhnLab-V3,0.9025487256371815
119,JRip,Arcabit,0.89880059970015
120,JRip,Avast,0.8883058470764615
121,JRip,Avira,0.9002998500749625
122,JRip,Baidu,0.9085457271364314
123,JRip,BitDefender,0.9010494752623686
124,JRip,Bkav,0.8976761619190405
125,JRip,CATQHeal,0.9029235382308844
126,JRip,CMC,0.9156671664167915
127,JRip,ClamAV,0.906296851574213
128,JRip,Comodo,0.904422788605697
129,JRip,CrowdStrike,0.8901799100449774
130,JRip,Cyren,0.9047976011994
131,JRip,DrWeb,0.901049475262369
132,JRip,ENOD32,0.8928035982008995
133,JRip,Emsisoft,0.8976761619190405
134,JRip,Endgame,0.8901799100449774
135,JRip,F-Prot,0.911169415292354
136,JRip,F-Secure,0.902548725637181
137,JRip,Fortinet,0.8973013493253374
138,JRip,GData,0.8950524737631185
139,JRip,Invincea,0.8999250374812591
140,JRip,Jiangmin,0.910044977511244
141,JRip,K7AntiVirus,0.8890554722638679
142,JRip,K7GW,0.895052473763118
143,JRip,Kaspersky,0.892053973013493
144,JRip,Kingsoft,0.9123222748815165
145,JRip,MAX,0.9006746626686655
146,JRip,McAfee,0.8883058470764615
147,JRip,McAfee-GW,0.8954272863568216
148,JRip,MicroWorld,0.9006746626686655
149,JRip,Microsoft,0.890929535232384
150,JRip,NANO,0.895802098950525
151,JRip,Paloalto,0.89167916041979
152,JRip,Panda,0.9002998500749625
153,JRip,Qihoo-360,0.896926536731634
154,JRip,Rising,0.907421289355322
155,JRip,SASpyware,0.90592203898051
156,JRip,SentinelOne,0.892803598200899
157,JRip,Sophos,0.899175412293853
158,JRip,Symantec,0.8890554722638679
159,JRip,Tencent,0.9055472263868065
160,JRip,TheHacker,0.929808973789427
161,JRip,TotalDefense,0.9107946026986505
162,JRip,TrendMicro,0.901799100449775
163,JRip,TMHouseC,0.892428785607196
164,JRip,VBA32,0.8950524737631185
165,JRip,VIPRE,0.8958020989505244
166,JRip,ViRobot,0.9096701649175415
167,JRip,Webroot,0.9040479760119939
168,JRip,Yandex,0.8943028485757121
169,JRip,ZoneAlarm,0.8954272863568216
170,JRip,eGambit,0.9276611694152925
171,OneR,ALYac,0.8553223388305851
172,OneR,AVG,0.823088455772114
173,OneR,AVware,0.8257121439280359
174,OneR,Ad-Aware,0.862818590704648
175,OneR,AhnLab-V3,0.8313343328335835
176,OneR,Arcabit,0.826086956521739
177,OneR,Avast,0.8197151424287855
178,OneR,Avira,0.8200899550224885
179,OneR,Baidu,0.826086956521739
180,OneR,BitDefender,0.8369565217391305
181,OneR,Bkav,0.802848575712144
182,OneR,CATQHeal,0.817091454272864
183,OneR,CMC,0.828335832083958
184,OneR,ClamAV,0.8470764617691156
185,OneR,Comodo,0.808095952023988
186,OneR,CrowdStrike,0.8159670164917545
187,OneR,Cyren,0.831334332833583
188,OneR,DrWeb,0.8223388305847075
189,OneR,ENOD32,0.812968515742129
190,OneR,Emsisoft,0.8193403298350825
191,OneR,Endgame,0.809970014992504
192,OneR,F-Prot,0.8275862068965515
193,OneR,F-Secure,0.823088455772114
194,OneR,Fortinet,0.8174662668665671
195,OneR,GData,0.807721139430285
196,OneR,Invincea,0.8159670164917541
197,OneR,Jiangmin,0.8497001499250375
198,OneR,K7AntiVirus,0.81671664167916
199,OneR,K7GW,0.823088455772114
200,OneR,Kaspersky,0.818215892053973
201,OneR,Kingsoft,0.8107227488151655
202,OneR,MAX,0.8167166416791605
203,OneR,McAfee,0.808470764617691
204,OneR,McAfee-GW,0.8163418290854575
205,OneR,MicroWorld,0.8275862068965515
206,OneR,Microsoft,0.8148425787106445
207,OneR,NANO,0.81184407796102
208,OneR,Paloalto,0.828335832083958
209,OneR,Panda,0.8294602698650675
210,OneR,Qihoo-360,0.8148425787106446
211,OneR,Rising,0.828335832083958
212,OneR,SASpyware,0.839580209895052
213,OneR,SentinelOne,0.812593703148426
214,OneR,Sophos,0.829085457271364
215,OneR,Symantec,0.818965517241379
216,OneR,Tencent,0.8249625187406295
217,OneR,TheHacker,0.852065748556197
218,OneR,TotalDefense,0.833208395802099
219,OneR,TrendMicro,0.815592203898051
220,OneR,TMHouseC,0.7964767616191906
221,OneR,VBA32,0.819340329835082
222,OneR,VIPRE,0.814092953523238
223,OneR,ViRobot,0.812968515742129
224,OneR,Webroot,0.8373313343328335
225,OneR,Yandex,0.8197151424287854
226,OneR,ZoneAlarm,0.815592203898051
227,OneR,eGambit,0.842578710644678
228,PART,ALYac,0.904422788605697
229,PART,AVG,0.893928035982009
230,PART,AVware,0.87743628185907
231,PART,Ad-Aware,0.914542728635682
232,PART,AhnLab-V3,0.8928035982008995
233,PART,Arcabit,0.885307346326837
234,PART,Avast,0.880809595202399
235,PART,Avira,0.8909295352323836
236,PART,Baidu,0.8894302848575715
237,PART,BitDefender,0.890554722638681
238,PART,Bkav,0.8849325337331335
239,PART,CATQHeal,0.8943028485757125
240,PART,CMC,0.9047976011994
241,PART,ClamAV,0.896551724137931
242,PART,Comodo,0.881559220389805
243,PART,CrowdStrike,0.883808095952024
244,PART,Cyren,0.89167916041979
245,PART,DrWeb,0.8875562218890556
246,PART,ENOD32,0.878185907046477
247,PART,Emsisoft,0.8958020989505245
248,PART,Endgame,0.881559220389805
249,PART,F-Prot,0.901424287856072
250,PART,F-Secure,0.8935532233883055
251,PART,Fortinet,0.8879310344827585
252,PART,GData,0.887181409295352
253,PART,Invincea,0.8954272863568216
254,PART,Jiangmin,0.9010494752623686
255,PART,K7AntiVirus,0.8890554722638679
256,PART,K7GW,0.8826836581709145
257,PART,Kaspersky,0.883433283358321
258,PART,Kingsoft,0.904324644549763
259,PART,MAX,0.8905547226386805
260,PART,McAfee,0.884182908545727
261,PART,McAfee-GW,0.8879310344827585
262,PART,MicroWorld,0.8943028485757121
263,PART,Microsoft,0.884182908545727
264,PART,NANO,0.8853073463268365
265,PART,Paloalto,0.8849325337331335
266,PART,Panda,0.896551724137931
267,PART,Qihoo-360,0.8883058470764615
268,PART,Rising,0.9002998500749625
269,PART,SASpyware,0.899550224887556
270,PART,SentinelOne,0.8819340329835079
271,PART,Sophos,0.8875562218890555
272,PART,Symantec,0.884182908545727
273,PART,Tencent,0.895052473763118
274,PART,TheHacker,0.926699244780098
275,PART,TotalDefense,0.904422788605697
276,PART,TrendMicro,0.899550224887556
277,PART,TMHouseC,0.8853073463268365
278,PART,VBA32,0.894302848575712
279,PART,VIPRE,0.8875562218890556
280,PART,ViRobot,0.8988005997001496
281,PART,Webroot,0.892428785607196
282,PART,Yandex,0.8879310344827585
283,PART,ZoneAlarm,0.883058470764618
284,PART,eGambit,0.920164917541229
285,ada,ALYac,0.9407796101949024
286,ada,AVG,0.929535232383808
287,ada,AVware,0.9220389805097451
288,ada,Ad-Aware,0.942278860569715
289,ada,AhnLab-V3,0.9302848575712145
290,ada,Arcabit,0.9287856071964016
291,ada,Avast,0.9201649175412294
292,ada,Avira,0.926536731634183
293,ada,Baidu,0.9325337331334335
294,ada,BitDefender,0.927286356821589
295,ada,Bkav,0.929160419790105
296,ada,CATQHeal,0.9336581709145431
297,ada,CMC,0.9434032983508245
298,ada,ClamAV,0.9347826086956526
299,ada,Comodo,0.9280359820089955
300,ada,CrowdStrike,0.919415292353823
301,ada,Cyren,0.9284107946026989
302,ada,DrWeb,0.9310344827586206
303,ada,ENOD32,0.923538230884558
304,ada,Emsisoft,0.931409295352324
305,ada,Endgame,0.922038980509745
306,ada,F-Prot,0.934782608695652
307,ada,F-Secure,0.929160419790105
308,ada,Fortinet,0.9272863568215894
309,ada,GData,0.928035982008996
310,ada,Invincea,0.9302848575712145
311,ada,Jiangmin,0.9385307346326834
312,ada,K7AntiVirus,0.9272863568215894
313,ada,K7GW,0.9246626686656675
314,ada,Kaspersky,0.9201649175412294
315,ada,Kingsoft,0.9431279620853079
316,ada,MAX,0.9254122938530736
317,ada,McAfee,0.921664167916042
318,ada,McAfee-GW,0.9284107946026989
319,ada,MicroWorld,0.93328335832084
320,ada,Microsoft,0.9284107946026989
321,ada,NANO,0.9246626686656669
322,ada,Paloalto,0.927286356821589
323,ada,Panda,0.9284107946026985
324,ada,Qihoo-360,0.928035982008996
325,ada,Rising,0.935532233883059
326,ada,SASpyware,0.935907046476762
327,ada,SentinelOne,0.9250374812593705
328,ada,Sophos,0.9306596701649175
329,ada,Symantec,0.9220389805097451
330,ada,Tencent,0.931784107946027
331,ada,TheHacker,0.9529098178587294
332,ada,TotalDefense,0.938530734632684
333,ada,TrendMicro,0.929160419790105
334,ada,TMHouseC,0.9257871064467765
335,ada,VBA32,0.931034482758621
336,ada,VIPRE,0.9231634182908545
337,ada,ViRobot,0.9370314842578715
338,ada,Webroot,0.9310344827586206
339,ada,Yandex,0.9254122938530736
340,ada,ZoneAlarm,0.92616191904048
341,ada,eGambit,0.9523988005997005
342,boosting,ALYac,0.9479010494752624
343,boosting,AVG,0.937406296851574
344,boosting,AVware,0.93328335832084
345,boosting,Ad-Aware,0.953898050974513
346,boosting,AhnLab-V3,0.943778110944528
347,boosting,Arcabit,0.9392803598200901
348,boosting,Avast,0.931409295352324
349,boosting,Avira,0.931784107946027
350,boosting,Baidu,0.9392803598200901
351,boosting,BitDefender,0.935532233883059
352,boosting,Bkav,0.940029985007496
353,boosting,CATQHeal,0.9452773613193405
354,boosting,CMC,0.950524737631184
355,boosting,ClamAV,0.9456521739130435
356,boosting,Comodo,0.936656671664168
357,boosting,CrowdStrike,0.931034482758621
358,boosting,Cyren,0.9370314842578711
359,boosting,DrWeb,0.9389055472263865
360,boosting,ENOD32,0.931409295352324
361,boosting,Emsisoft,0.941529235382309
362,boosting,Endgame,0.928785607196402
363,boosting,F-Prot,0.9437781109445276
364,boosting,F-Secure,0.9362818590704649
365,boosting,Fortinet,0.9355322338830585
366,boosting,GData,0.9411544227886055
367,boosting,Invincea,0.9404047976011995
368,boosting,Jiangmin,0.946776611694153
369,boosting,K7AntiVirus,0.9370314842578715
370,boosting,K7GW,0.934032983508246
371,boosting,Kaspersky,0.9302848575712145
372,boosting,Kingsoft,0.9493483412322274
373,boosting,MAX,0.9411544227886055
374,boosting,McAfee,0.931034482758621
375,boosting,McAfee-GW,0.937031484257871
376,boosting,MicroWorld,0.9411544227886055
377,boosting,Microsoft,0.9385307346326834
378,boosting,NANO,0.934407796101949
379,boosting,Paloalto,0.934032983508246
380,boosting,Panda,0.941904047976012
381,boosting,Qihoo-360,0.936656671664168
382,boosting,Rising,0.9490254872563719
383,boosting,SASpyware,0.949400299850075
384,boosting,SentinelOne,0.937406296851574
385,boosting,Sophos,0.9407796101949025
386,boosting,Symantec,0.933658170914543
387,boosting,Tencent,0.941529235382309
388,boosting,TheHacker,0.9573522878720571
389,boosting,TotalDefense,0.9471514242878565
390,boosting,TrendMicro,0.938530734632684
391,boosting,TMHouseC,0.9370314842578711
392,boosting,VBA32,0.9400299850074965
393,boosting,VIPRE,0.9310344827586206
394,boosting,ViRobot,0.949400299850075
395,boosting,Webroot,0.941529235382309
396,boosting,Yandex,0.9351574212893555
397,boosting,ZoneAlarm,0.9370314842578711
398,boosting,eGambit,0.961769115442279
399,gbm,ALYac,0.910044977511244
400,gbm,AVG,0.902548725637181
401,gbm,AVware,0.8973013493253374
402,gbm,Ad-Aware,0.9089205397301345
403,gbm,AhnLab-V3,0.897301349325337
404,gbm,Arcabit,0.896926536731634
405,gbm,Avast,0.896176911544228
406,gbm,Avira,0.899550224887556
407,gbm,Baidu,0.8984257871064469
408,gbm,BitDefender,0.8976761619190405
409,gbm,Bkav,0.895802098950525
410,gbm,CATQHeal,0.898050974512744
411,gbm,CMC,0.926911544227886
412,gbm,ClamAV,0.9092953523238381
413,gbm,Comodo,0.890554722638681
414,gbm,CrowdStrike,0.899175412293853
415,gbm,Cyren,0.9085457271364314
416,gbm,DrWeb,0.8984257871064465
417,gbm,ENOD32,0.893928035982009
418,gbm,Emsisoft,0.904422788605697
419,gbm,Endgame,0.8890554722638679
420,gbm,F-Prot,0.911169415292354
421,gbm,F-Secure,0.8973013493253374
422,gbm,Fortinet,0.9032983508245875
423,gbm,GData,0.899550224887556
424,gbm,Invincea,0.9047976011994
425,gbm,Jiangmin,0.903298350824588
426,gbm,K7AntiVirus,0.901799100449775
427,gbm,K7GW,0.896926536731634
428,gbm,Kaspersky,0.8909295352323835
429,gbm,Kingsoft,0.92031990521327
430,gbm,MAX,0.9002998500749625
431,gbm,McAfee,0.8954272863568216
432,gbm,McAfee-GW,0.893928035982009
433,gbm,MicroWorld,0.9032983508245875
434,gbm,Microsoft,0.893928035982009
435,gbm,NANO,0.890554722638681
436,gbm,Paloalto,0.9062968515742129
437,gbm,Panda,0.897301349325337
438,gbm,Qihoo-360,0.8976761619190405
439,gbm,Rising,0.9070464767616195
440,gbm,SASpyware,0.9104197901049476
441,gbm,SentinelOne,0.8913043478260869
442,gbm,Sophos,0.905547226386807
443,gbm,Symantec,0.8984257871064465
444,gbm,Tencent,0.904422788605697
445,gbm,TheHacker,0.9306974677920925
446,gbm,TotalDefense,0.917166416791604
447,gbm,TrendMicro,0.911544227886057
448,gbm,TMHouseC,0.9006746626686655
449,gbm,VBA32,0.9006746626686655
450,gbm,VIPRE,0.8980509745127435
451,gbm,ViRobot,0.9175412293853075
452,gbm,Webroot,0.9081709145427286
453,gbm,Yandex,0.8931784107946026
454,gbm,ZoneAlarm,0.896176911544228
455,gbm,eGambit,0.9190404797601199
456,h2o.deepL,ALYac,0.916416791604198
457,h2o.deepL,AVG,0.893928035982009
458,h2o.deepL,AVware,0.899550224887556
459,h2o.deepL,Ad-Aware,0.920914542728636
460,h2o.deepL,AhnLab-V3,0.9081709145427286
461,h2o.deepL,Arcabit,0.9122938530734634
462,h2o.deepL,Avast,0.895802098950525
463,h2o.deepL,Avira,0.8950524737631185
464,h2o.deepL,Baidu,0.910044977511244
465,h2o.deepL,BitDefender,0.9070464767616191
466,h2o.deepL,Bkav,0.8879310344827585
467,h2o.deepL,CATQHeal,0.9021739130434785
468,h2o.deepL,CMC,0.920539730134933
469,h2o.deepL,ClamAV,0.9051724137931034
470,h2o.deepL,Comodo,0.89167916041979
471,h2o.deepL,CrowdStrike,0.8901799100449774
472,h2o.deepL,Cyren,0.901799100449775
473,h2o.deepL,DrWeb,0.899175412293853
474,h2o.deepL,ENOD32,0.892428785607196
475,h2o.deepL,Emsisoft,0.889055472263868
476,h2o.deepL,Endgame,0.8800599700149925
477,h2o.deepL,F-Prot,0.906296851574213
478,h2o.deepL,F-Secure,0.9002998500749625
479,h2o.deepL,Fortinet,0.8905547226386805
480,h2o.deepL,GData,0.896176911544228
481,h2o.deepL,Invincea,0.896176911544228
482,h2o.deepL,Jiangmin,0.9047976011994006
483,h2o.deepL,K7AntiVirus,0.8976761619190401
484,h2o.deepL,K7GW,0.899175412293853
485,h2o.deepL,Kaspersky,0.8823088455772115
486,h2o.deepL,Kingsoft,0.9155805687203791
487,h2o.deepL,MAX,0.9051724137931034
488,h2o.deepL,McAfee,0.901799100449775
489,h2o.deepL,McAfee-GW,0.8969265367316345
490,h2o.deepL,MicroWorld,0.9047976011994006
491,h2o.deepL,Microsoft,0.898050974512744
492,h2o.deepL,NANO,0.8905547226386805
493,h2o.deepL,Paloalto,0.8980509745127435
494,h2o.deepL,Panda,0.902173913043478
