,er,AV,Accuracy
0,IBk,ALYac,0.943778110944528
1,IBk,AVG,0.9355322338830585
2,IBk,AVware,0.9392803598200901
3,IBk,Ad-Aware,0.949025487256372
4,IBk,AhnLab-V3,0.9456521739130435
5,IBk,Arcabit,0.9426536731634185
6,IBk,Avast,0.936656671664168
7,IBk,Avira,0.943028485757121
8,IBk,Baidu,0.9407796101949025
9,IBk,BitDefender,0.9392803598200901
10,IBk,Bkav,0.944527736131934
11,IBk,CATQHeal,0.944527736131934
12,IBk,CMC,0.942278860569715
13,IBk,ClamAV,0.946776611694153
14,IBk,Comodo,0.934407796101949
15,IBk,CrowdStrike,0.9404047976011995
16,IBk,Cyren,0.936281859070465
17,IBk,DrWeb,0.9347826086956526
18,IBk,ENOD32,0.9377811094452775
19,IBk,Emsisoft,0.9396551724137929
20,IBk,Endgame,0.9325337331334335
21,IBk,F-Prot,0.947151424287856
22,IBk,F-Secure,0.942278860569715
23,IBk,Fortinet,0.938905547226387
24,IBk,GData,0.9381559220389806
25,IBk,Invincea,0.941529235382309
26,IBk,Jiangmin,0.941154422788606
27,IBk,K7AntiVirus,0.937406296851574
28,IBk,K7GW,0.937406296851574
29,IBk,Kaspersky,0.938905547226387
30,IBk,Kingsoft,0.9381559220389806
31,IBk,MAX,0.93215892053973
32,IBk,McAfee,0.935907046476762
33,IBk,McAfee-GW,0.942278860569715
34,IBk,MicroWorld,0.9430284857571215
35,IBk,Microsoft,0.944527736131934
36,IBk,NANO,0.931034482758621
37,IBk,Paloalto,0.9355322338830585
38,IBk,Panda,0.9381559220389805
39,IBk,Qihoo-360,0.9362818590704649
40,IBk,Rising,0.9430284857571215
41,IBk,SASpyware,0.9531484257871066
42,IBk,SentinelOne,0.946026986506747
43,IBk,Sophos,0.9396551724137929
44,IBk,Symantec,0.9362818590704649
45,IBk,Tencent,0.938905547226387
46,IBk,TheHacker,0.9381559220389805
47,IBk,TotalDefense,0.9501499250374815
48,IBk,TrendMicro,0.9430284857571215
49,IBk,TMHouseC,0.9400299850074965
50,IBk,VBA32,0.9456521739130435
51,IBk,VIPRE,0.941904047976012
52,IBk,ViRobot,0.937031484257871
53,IBk,Webroot,0.9434032983508245
54,IBk,Yandex,0.9381559220389806
55,IBk,ZoneAlarm,0.9404047976011995
56,IBk,Zoner,0.890929535232384
57,IBk,eGambit,0.953898050974513
58,J48,ALYac,0.931784107946027
59,J48,AVG,0.926911544227886
60,J48,AVware,0.922413793103448
61,J48,Ad-Aware,0.9362818590704645
62,J48,AhnLab-V3,0.9381559220389806
63,J48,Arcabit,0.9355322338830585
64,J48,Avast,0.9246626686656669
65,J48,Avira,0.931409295352324
66,J48,Baidu,0.938905547226387
67,J48,BitDefender,0.932533733133433
68,J48,Bkav,0.93215892053973
