,er,AV,Accuracy
0,IBk,ALYac,0.902173913043478
1,IBk,AVG,0.8763118440779609
2,IBk,AVware,0.8826836581709145
3,IBk,Ad-Aware,0.9010494752623686
4,IBk,AhnLab-V3,0.8958020989505245
5,IBk,Arcabit,0.890929535232384
6,IBk,Avast,0.8834332833583209
7,IBk,Avira,0.8864317841079461
8,IBk,Baidu,0.8826836581709145
9,IBk,BitDefender,0.892428785607196
10,IBk,Bkav,0.8935532233883055
11,IBk,CATQHeal,0.8740629685157425
12,IBk,CMC,0.87143928035982
13,IBk,ClamAV,0.900299850074962
14,IBk,Comodo,0.8778110944527735
15,IBk,CrowdStrike,0.8898050974512746
16,IBk,Cyren,0.8935532233883055
17,IBk,DrWeb,0.8834332833583209
18,IBk,ENOD32,0.8763118440779609
19,IBk,Emsisoft,0.888305847076462
20,IBk,Endgame,0.883808095952024
21,IBk,F-Prot,0.8901799100449774
22,IBk,F-Secure,0.8864317841079461
23,IBk,Fortinet,0.8699400299850075
24,IBk,GData,0.8901799100449775
25,IBk,Invincea,0.8886806596701651
26,IBk,Jiangmin,0.8984257871064465
27,IBk,K7AntiVirus,0.881559220389805
28,IBk,K7GW,0.887181409295352
29,IBk,Kaspersky,0.8774362818590705
30,IBk,Kingsoft,0.8230884557721141
31,IBk,MAX,0.8770614692653675
32,IBk,McAfee,0.884182908545727
33,IBk,McAfee-GW,0.8759370314842575
34,IBk,MicroWorld,0.893928035982009
35,IBk,Microsoft,0.8778110944527735
36,IBk,NANO,0.8804347826086956
37,IBk,Paloalto,0.877811094452774
38,IBk,Panda,0.883058470764618
39,IBk,Qihoo-360,0.8875562218890555
40,IBk,Rising,0.892803598200899
41,IBk,SASpyware,0.914167916041979
42,IBk,SentinelOne,0.8879310344827585
43,IBk,Sophos,0.8853073463268365
44,IBk,Symantec,0.8793103448275861
45,IBk,Tencent,0.875937031484258
46,IBk,TheHacker,0.8695652173913044
47,IBk,TotalDefense,0.8691904047976015
48,IBk,TrendMicro,0.8676911544227885
49,IBk,TMHouseC,0.863943028485757
50,IBk,VBA32,0.8834332833583205
51,IBk,VIPRE,0.878185907046477
52,IBk,ViRobot,0.8253373313343331
53,IBk,Webroot,0.9002998500749625
54,IBk,Yandex,0.888305847076462
55,IBk,ZoneAlarm,0.875937031484258
56,IBk,Zoner,0.932533733133433
57,IBk,eGambit,0.941904047976012
58,J48,ALYac,0.904047976011994
59,J48,AVG,0.881934032983508
60,J48,AVware,0.8778110944527735
61,J48,Ad-Aware,0.9055472263868065
62,J48,AhnLab-V3,0.9021739130434785
63,J48,Arcabit,0.8845577211394305
64,J48,Avast,0.8751874062968514
65,J48,Avira,0.887556221889055
66,J48,Baidu,0.883433283358321
67,J48,BitDefender,0.8920539730134935
68,J48,Bkav,0.8924287856071964
69,J48,CATQHeal,0.886806596701649
70,J48,CMC,0.877811094452774
71,J48,ClamAV,0.901799100449775
72,J48,Comodo,0.8808095952023985
73,J48,CrowdStrike,0.892428785607196
74,J48,Cyren,0.895052473763118
75,J48,DrWeb,0.8819340329835085
76,J48,ENOD32,0.8748125937031486
77,J48,Emsisoft,0.883808095952024
78,J48,Endgame,0.8890554722638679
79,J48,F-Prot,0.895802098950525
80,J48,F-Secure,0.8830584707646175
81,J48,Fortinet,0.869190404797601
82,J48,GData,0.8890554722638679
83,J48,Invincea,0.8800599700149925
84,J48,Jiangmin,0.8976761619190405
